,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
3138,Taila,Santos,,"5' 6""",125 lbs.,"68.0""",Orthodox,19,2,0,
3139,Marilia,Santos,Chocolate,"5' 4""",125 lbs.,--,Orthodox,10,3,0,
3140,Edivan,Santos,Pe De Sapo,"6' 4""",248 lbs.,"78.0""",Orthodox,12,3,1,
3141,Daniel,Santos,Willycat,"5' 7""",135 lbs.,"67.0""",Orthodox,9,2,0,
3142,Nick,Sanzo,,"5' 9""",190 lbs.,--,,1,1,0,
3143,Bob,Sapp,The Beast,"6' 5""",350 lbs.,--,Orthodox,11,20,0,
3144,Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",Orthodox,10,6,0,
3145,Jeka,Saragih,,"5' 8""",155 lbs.,"69.0""",Orthodox,12,2,0,
3146,Diego,Saraiva,The Octopus,"5' 6""",155 lbs.,--,Orthodox,22,20,1,
3147,Harris,Sarmiento,The Hitman,"5' 9""",155 lbs.,--,Orthodox,36,26,0,
3148,Alexander,Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,,35,6,0,
3149,Yuki,Sasaki,,"6' 2""",185 lbs.,--,Orthodox,25,22,2,
3150,Kyosuke,Sasaki,,"5' 7""",183 lbs.,--,Southpaw,3,7,4,
3151,Yuta,Sasaki,Ulka,"5' 10""",125 lbs.,"71.0""",Southpaw,21,6,2,
3152,Paul,Sass,,"6' 0""",155 lbs.,"73.0""",Orthodox,14,2,0,
3153,Keisuke,Sasu,Sasuke,"5' 5""",145 lbs.,"69.0""",Switch,9,2,1,
3154,Masaaki,Satake,,"6' 1""",220 lbs.,--,Orthodox,1,8,1,
3155,Takenori,Sato,,"5' 10""",170 lbs.,--,Southpaw,19,11,7,
3156,Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",Southpaw,16,6,0,
3157,Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0,
3158,Tom,Sauer,,"6' 1""",263 lbs.,--,,25,12,0,
3159,Townsend,Saunders,,"5' 5""",170 lbs.,--,Orthodox,0,2,0,
3160,Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,2,
3161,Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0,
3162,Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,,16,8,0,
3163,Lumumba,Sayers,,"6' 0""",185 lbs.,--,,6,5,0,
3164,Matt,Sayles,,"5' 7""",155 lbs.,"68.0""",Orthodox,8,4,0,
3165,Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,,5,1,0,
3166,Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,9,2,0,
3167,Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,2,
3168,Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,Orthodox,24,13,0,
3169,Eric,Schambari,,"5' 11""",185 lbs.,--,Orthodox,15,6,0,
3170,Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,0,
3171,Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,0,
3172,Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,5,5,0,
3173,Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,11,10,0,
3174,Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0,
3175,Pat,Schilling,Thrilling,"5' 8""",145 lbs.,--,Orthodox,5,2,0,
3176,Joe,Schilling,,"6' 3""",185 lbs.,--,,2,5,0,
3177,Semmy,Schilt,Hightower,"6' 10""",265 lbs.,--,Orthodox,26,14,1,
3178,Adam,Schindler,,"5' 8""",155 lbs.,--,,10,6,0,
3179,Daniel,Schmitt,,--,185 lbs.,--,,2,3,0,
3180,Colleen,Schneider,,--,135 lbs.,--,,11,7,0,
3181,Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,16,6,0,
3182,Alex,Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,15,10,0,
3183,Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,14,8,0,
3184,Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1,
3185,Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0,
3186,Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0,
3187,Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0,
3188,Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0,
3189,Eric,Schwartz,,--,205 lbs.,--,,2,0,0,
3190,Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,
3191,Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0,
3192,Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0,
3193,Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1,
3194,Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,
3195,Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,
3196,Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,
3197,Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,
3198,Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,
3199,Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,
3200,Tetsuya,Seki,,"5' 10""",155 lbs.,--,,14,8,1,
3201,Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0,
3202,Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0,
3203,Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,10,4,0,
3204,Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2,
3205,Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,
3206,Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0,
3207,YeDam,Seo,,"5' 2""",115 lbs.,"63.0""",Orthodox,6,3,0,
3208,Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0,
3209,Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,
3210,Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,
3211,Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,
3212,Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0,
3213,Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,
3214,Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
3215,Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4,
3216,Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,
3217,Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0,
3218,Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1,
3219,Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0,
3220,Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0,
3221,Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"74.0""",Orthodox,11,3,0,
3222,Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0,
3223,Don,Shainis,Shameless,"5' 6""",145 lbs.,"67.0""",Orthodox,12,4,0,
3224,Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0,
3225,Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2,
3226,Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2,
3227,Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2,
3228,Shang,Zhifa,Northeast Flying Tiger,"5' 7""",125 lbs.,"63.0""",Orthodox,32,8,0,
3229,Jason,Sharp,,--,205 lbs.,--,,3,3,0,
3230,Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0,
3231,Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,
3232,Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,16,10,0,
3233,Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,23,3,0,
3234,Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,10,4,0,
3235,Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,
3236,Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1,
3237,Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1,
3238,Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11,
3239,Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0,
3240,Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1,
3241,Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2,
3242,Wes,Shivers,,"6' 8""",--,--,,7,1,0,
3243,Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0,
3244,Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0,
3245,Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0,
3246,Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5,
3247,Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,3,1,
3248,Jack,Shore,Tank,"5' 8""",135 lbs.,"71.0""",Orthodox,16,1,0,
3249,Landon,Showalter,The Show,"6' 0""",185 lbs.,--,,11,19,1,
3250,Ivan,Shtyrkov,Ural Hulk,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,1,
3251,Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0,
3252,Sam,Sicilia,,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,0,
3253,Kiril,Sidelnikov,,"5' 11""",230 lbs.,--,,11,4,0,
3254,Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,0,
3255,Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,12,5,0,
3256,Xavier,Siller,Young Guns,"5' 5""",125 lbs.,--,,5,5,0,
3257,Assuerio,Silva,,"5' 10""",241 lbs.,--,Orthodox,16,8,0,
3258,Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0,
3259,Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1,
3260,Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0,
3261,Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0,
3262,Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3,
3263,Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0,
3264,Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0,
3265,Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1,
3266,Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1,
3267,Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0,
3268,Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0,
3269,Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1,
3270,Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,4,0,
3271,Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0,
3272,Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0,
3273,Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,12,4,0,
3274,Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0,
3275,Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0,
3276,Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,12,5,2,
3277,Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,22,8,0,
3278,Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0,
3279,Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0,
3280,Natalia,Silva,,"5' 4""",125 lbs.,"65.0""",Southpaw,13,5,1,
3281,Jansey,Silva,Jones,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,0,
3282,Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,"64.0""",Orthodox,8,1,0,
3283,Karine,Silva,Killer,"5' 5""",125 lbs.,"67.0""",Orthodox,15,4,0,
3284,Erik,Silva,The King,"5' 9""",145 lbs.,--,Orthodox,9,1,0,
3285,Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,28,5,0,
3286,Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0,
3287,Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0,
3288,Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
3289,Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0,
3290,Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,20,3,0,
3291,Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0,
3292,Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1,
3293,Marlon,Sims,,--,170 lbs.,--,,3,4,0,
3294,Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,
3295,Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,
3296,Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,
3297,Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,
3298,Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,
3299,Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,
3300,Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,
3301,Gian,Siqueira,Pitbull,--,170 lbs.,--,,19,4,0,
3302,Jeremia,Siregar,The Teacher,"5' 2""",125 lbs.,"63.0""",Orthodox,6,3,0,
3303,AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,
3304,Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,
3305,Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,
3306,Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,
3307,Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,19,3,0,
3308,Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,
3309,Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,
3310,Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,
3311,Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,
3312,Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0,
3313,Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,
3314,Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,
3315,Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,
3316,Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,
3317,Eric,Smith,,--,--,--,Southpaw,1,1,0,
3318,Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,
3319,David,Smith,,--,155 lbs.,--,,5,1,0,
3320,Adam,Smith,,--,--,--,,0,3,0,
3321,Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0,
3322,Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,
3323,Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,36,17,0,
3324,Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,
3325,Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,
3326,Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,
3327,Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,0,
3328,Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,
3329,Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,
3330,Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,
3331,Justin,Smitley,,--,145 lbs.,--,,10,7,1,
3332,Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,
3333,Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,0,
3334,Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,0,
3335,Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,
3336,Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,
3337,Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,
3338,Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,
3339,Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,
3340,Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,
3341,Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,12,3,0,
3342,Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0,
3343,Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,
3344,Paul,Song,,--,185 lbs.,--,,2,2,0,
3345,Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,18,6,0,
3346,Song,Yadong,Kung Fu Kid,"5' 8""",135 lbs.,"67.0""",Orthodox,19,7,1,
3347,Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,
3348,Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0,
3349,Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,
3350,Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,
3351,Sean,Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0,
3352,Punahele,Soriano,Puna,"5' 11""",185 lbs.,"72.0""",Southpaw,9,2,0,
3353,Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,
3354,Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,
3355,Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,
3356,George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,
3357,Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,
3358,Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,
3359,Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,
3360,Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,
3361,Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,
3362,Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,15,3,0,
3363,Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,
3364,Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,
3365,Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,
3366,Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0,
3367,Bruno,Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,3,0,
3368,Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0,
3369,Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,
3370,Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,
3371,Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,20,7,0,
3372,Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,
3373,Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,
3374,Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,
3375,Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,
3376,Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0,
3377,Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,
3378,Nick,Sperling,,--,135 lbs.,--,,3,4,0,
3379,Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,
3380,Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,
3381,Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,
3382,Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,
3383,Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,15,3,0,
3384,Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,
3385,Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,
3386,Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,
3387,Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,
3388,Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,
3389,Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,
3390,Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,
3391,Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,20,5,1,
3392,Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,
3393,Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,
3394,Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,
3395,Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,
3396,Lucas,Stark,,--,155 lbs.,--,,1,5,0,
3397,Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,
3398,Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,
3399,Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0,
3400,Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,
3401,Adam,Steele,,--,170 lbs.,--,,0,1,0,
3402,Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,
3403,Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,
3404,Eric,Steenberg,,--,155 lbs.,--,,5,1,0,
3405,Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,
3406,Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,
3407,Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,
3408,Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0,
3409,Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,21,3,0,
3410,Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,
3411,Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,
3412,Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,
3413,Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,
3414,Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,
3415,Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,
3416,Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,
3417,Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,
3418,Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,
3419,Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,
3420,Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,
3421,Julija,Stoliarenko,,"5' 7""",135 lbs.,"66.0""",,10,8,2,
3422,Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,14,5,0,
3423,Niklas,Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0,
3424,Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,
3425,Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,
3426,George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,
3427,Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,
3428,Darko,Stosic,,"6' 0""",205 lbs.,"76.0""",Orthodox,13,4,0,
3429,Greg,Stott,Ranger,"5' 7""",220 lbs.,--,Southpaw,0,1,0,
3430,Curtis,Stout,,"6' 1""",185 lbs.,--,Southpaw,11,12,1,
3431,Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,20,12,1,
3432,Tim,Stout,,"5' 11""",185 lbs.,--,,12,10,0,
3433,Jesse,Strader,Sui Generis,"5' 7""",135 lbs.,"70.0""",Orthodox,5,3,0,
3434,Gennaro,Strangis,,--,--,--,,0,1,0,
3435,Dave,Strasser,,"5' 10""",170 lbs.,--,Orthodox,25,8,0,
3436,Daniel,Straus,,"5' 7""",145 lbs.,"71.0""",,24,7,0,
3437,Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,--,Orthodox,9,7,0,
3438,Sean,Strickland,,"6' 1""",185 lbs.,"76.0""",Orthodox,25,4,0,
3439,Mark,Striegl,Mugen,"5' 8""",145 lbs.,"70.0""",Southpaw,18,4,0,
